CLAIM,SUPPORTING_WORKS,SUPPORTING_REPORT,VISUAL_ASSET,CURRENT_VERDICT,LIMITATION
1970s parallel experiment model,La Déviation (1973) · Le Bandard Fou (1974-75) · Arzach (1975-76) · The Long Tomorrow (1975-76) · Garage Hermétique (1979),studies/1970S_FIRST_PASS_LOCK.md · reports/PHASE3B_CLAIM_LEDGER.csv,review/studies/1970S_MASTER_ARC.jpg · SESSION07_GIR_DEVIATION_ARZACH_V2.jpg · 1970S_STABLE_HAND.jpg,COMPLETE_AND_LOCKED,1970s First Pass LOCKED；不可重判
Arzach low explanation / high visual causality,Arzach (1975-76),studies/1970S_FIRST_PASS_LOCK.md · reports/PHASE4B_VISUAL_LEDGER.csv,review/studies/MOEBIUS_INFORMATION_REGIMES.jpg · 1970S_INFORMATION_REGIMES.jpg,SUPPORTED_WITHIN_CURRENT_CORPUS,单作品类；LOW_EXPLANATION 类型存在于其他作品（40days 候选）
Long Tomorrow high functional information,The Long Tomorrow (1975-76),studies/1970S_FIRST_PASS_LOCK.md,review/studies/MOEBIUS_INFORMATION_REGIMES.jpg,SUPPORTED_WITHIN_CURRENT_CORPUS,单作品类
Garage variable information regime,Garage Hermétique (1979-80),studies/1970S_FIRST_PASS_LOCK.md,review/studies/1970S_INFORMATION_REGIMES.jpg,SUPPORTED_WITHIN_CURRENT_CORPUS,VARIABLE/GENERATIVE 命名只在本作品语境
task > simple chronology,三卷 Cœur（1992/1993/1998）+ Stel（1992 planche）+ 40 Days（1999）+ Long Tomorrow (1975) + Garage (1979) 等,studies/CROSS_DECADE_MODEL_LOCK.md · PHASE4A/PHASE4B/PHASE5A/PHASE5B/PHASE5C VERDICTS,review/studies/CROSS_DECADE_INFORMATION_REGIMES.jpg · CROSS_DECADE_COUNTEREXAMPLES.jpg,SUPPORTED_WITH_LIMITS,"cross-decade 验证 S1=54/54, S2=53/54, S5=54/54, F1-F5=0 triggered"
Stable Spatial Hand,跨年代 multi-corpus（70s/80s/90s）,studies/STABLE_SPATIAL_HAND_DEFINITION.md · studies/CROSS_DECADE_MODEL_LOCK.md,review/studies/MOEBIUS_MASTER_STABLE_HAND.jpg · CROSS_DECADE_STABLE_HAND.jpg,SUPPORTED_WITH_LIMITS（WORKING_MODEL）,"S4/S3 当前只作 resource 不作 invariant；不解释""读起来不稳定""——此缺口已被 Phase 6A 记录"
Strange Object Readability,Phase 5A 专题 inventory + Garage Hermétique + 1986 machine + Ciguri + Arzach,studies/STRANGE_OBJECT_READABILITY_FRAMEWORK.md · studies/SESSION12_FRESH_VISION_ADDENDUM.md,review/studies/MACHINE_STATES_TIMELINE.jpg · MACHINE_FUNCTION_ONTOLOGY.jpg · HUMAN_MACHINE_RELATIONS.jpg,SUPPORTED_AS_FRAMEWORK_EXTENSION,机器单一类别太粗 → 升至 Function × Ontology × Physics × Human Relation × Space Role 五轴框架
Relation First / Ontology Deferred,Arzach mount · 1986 machine · La Déviation P4 · S14-05 FM-07 · Long Tomorrow · 40 Days 双悬置,studies/RELATION_FIRST_ONTOLOGY_DEFERRED_v0.1.md · studies/RELATION_FIRST_COUNTEREXAMPLE_PROTOCOL.md,review/studies/RELATION_ONTOLOGY_2X2.jpg,WORKING_MODEL_V0.1,不升级为 artist theory；Q1 压倒默认（叙事日常双清）；CE-A/B/C 定义先于未来阅读冻结
Crystal as project vocabulary,Futurs Magiques 8/8 (1983-84) · Cristal Saga 10/10 corpus-level (item-level unavailable),studies/CRYSTAL_ENERGY_PREREGISTRATION.md · reports/PHASE5C_CRYSTAL_ENERGY_LEDGER.csv,review/studies/CRYSTAL_STATES_SPECTRUM.jpg · CRYSTAL_MACHINE_ENERGY.jpg,COMPLETE_WITH_ITEM_ASSET_LIMITATION,Cristal Saga item-level 已 EXHAUSTED；不得伪造恢复
Body as Narrative Resource,Cœur V1/V2/V3（1992/93/98）三卷复现 + Stel（1992 planche）独立复现,studies/STUDY-12-LE-COEUR-COURONNE-FIRST-PASS-SYNTHESIS.md · studies/PHASE6B_RESULT_SYNTHESIS.md,SESSION15A/B/C review bundles · PHASE6B review bundle,PROJECT_LIMITED_WITHIN_CURRENT_NON_COEUR_90S_TEST,40 Days B = DOES_NOT_MEET_THRESHOLD；FOURTH_LAYER_CANDIDATE_STATUS=NOT_READY；Phase 6B-R fresh-context replication 待执行
Stel vs 40 Days counterexample,Stel (WOE Ch.4 2016 reprint) MEETS_THRESHOLD · 40 Jours dans le Désert B (1999) DOES_NOT_MEET_THRESHOLD,studies/PHASE6B_RESULT_SYNTHESIS.md · PHASE6B_BODY_SAMPLE_FREEZE_R2.csv,PHASE6B_R_CLEAN_REPLICATION_REVIEW_BUNDLE.zip（盲包）,PARTIAL_1_OF_2,BODY_VISIBILITY != NARRATIVE_CAUSALITY；Reviewer Blindness Caveat 提示需 fresh-context replication
